Name,State,Owner (WT),WT Source,Owner (Josh),Source,Notes,,,,,,,
Oakholme,NSW,JACKSON AGRICULTURE,Na,,https://www.queenslandcountrylife.com.au/story/6736426/ben-lomond-oakholme-makes-48m-4692acre/,,,,,,,,
Winston Park,NSW,JACKSON AGRICULTURE,Na,Jackson Agriculture,http://www.jacksonag.com.au/#section3,,,,,,,,
Blina Station,WA,JUMBUCK PASTORAL COMPANY,Na,Jumbuck,https://jumbuck.com.au/,,,,,,,,
Bulgunnia,SA,JUMBUCK PASTORAL COMPANY,Na,Jumbuck,https://jumbuck.com.au/,,,,,,,,
Commonwealth Hill,SA,JUMBUCK PASTORAL COMPANY,Na,Jumbuck,https://jumbuck.com.au/,,,,,,,,
Gunbar Station,NSW,JUMBUCK PASTORAL COMPANY,Na,Jumbuck,https://jumbuck.com.au/,,,,,,,,
Killarney Station,NT,JUMBUCK PASTORAL COMPANY,Na,Jumbuck,https://jumbuck.com.au/,,,,,,,,
McCoys Well,SA,JUMBUCK PASTORAL COMPANY,Na,Jumbuck,https://jumbuck.com.au/,,,,,,,,
Meda Station,WA,JUMBUCK PASTORAL COMPANY,Na,Jumbuck,https://jumbuck.com.au/,,,,,,,,
Mobella,SA,JUMBUCK PASTORAL COMPANY,Na,Jumbuck,https://jumbuck.com.au/,,,,,,,,
Mt Victor,SA,JUMBUCK PASTORAL COMPANY,Na,Jumbuck,https://jumbuck.com.au/,,,,,,,,
Mulgathing,Na,JUMBUCK PASTORAL COMPANY,Na,Jumbuck,https://jumbuck.com.au/,,,,,,,,
Rawlinna Station,WA,JUMBUCK PASTORAL COMPANY,Na,Jumbuck,https://jumbuck.com.au/,,,,,,,,
Kahmoo Station,QLD,KAHMOO PASTORAL COMPANY,kahmoo.com,,https://www.theland.com.au/story/5942375/western-queensland-sheep-producers-expand-into-nsw/,,,,,,,,
Rockleigh Station,NSW,KAHMOO PASTORAL COMPANY,kahmoo.com,,https://www.theland.com.au/story/5942375/western-queensland-sheep-producers-expand-into-nsw/,,,,,,,,
Belford Station,QLD,KEATS FAMILY PASTORAL,Na,,,,,,,,,,
Gleeson/White Hills,QLD,KEATS FAMILY PASTORAL,Na,,,,,,,,,,
Kiama,QLD,KEATS FAMILY PASTORAL,Na,,,,,,,,,,
Bohemia Downs Station WA – 141,WA,KIMBERLEY AGRICULTURE & PASTORAL COMPANY,kapco.com.au,Kimberley Agriculture,https://www.kapco.com.au/map,,,,,,,,
Frazier Downs Station,WA,KIMBERLEY AGRICULTURE & PASTORAL COMPANY,kapco.com.au,Kimberley Agriculture,https://www.kapco.com.au/map,,,,,,,,
Mt Anderson Station,WA,KIMBERLEY AGRICULTURE & PASTORAL COMPANY,kapco.com.au,Kimberley Agriculture,https://www.kapco.com.au/map,,,,,,,,
Myroodah Station WA.,WA,KIMBERLEY AGRICULTURE & PASTORAL COMPANY,kapco.com.au,Kimberley Agriculture,https://www.kapco.com.au/map,,,,,,,,
Hillside Station,WA,KUMARINA HOLDINGS,Na,,Brent Smoothy,https://www.queenslandcountrylife.com.au/story/6410315/smoothy-buys-karamarra/,,,,,,,
Karamarra,QLD,KUMARINA HOLDINGS,Na,,Brent Smoothy,https://www.queenslandcountrylife.com.au/story/6410315/smoothy-buys-karamarra/,,,,,,,
Banongill Station,VIC,LAGUNA BAY PASTORAL COMPANY,lagunabaypastoral.com.au,Laguna Bay Pastoral ,https://www.lagunabay.com.au/our-people/lachlan-lynch/,,,,,,,,
Tasmanian dairy aggregation,TAS,LAGUNA BAY PASTORAL COMPANY,lagunabaypastoral.com.au,Laguna Bay Pastoral ,https://www.lagunabay.com.au/our-people/jack-hewitt/,,,,,,,,
Big River Station,NT,LANGENHOVEN FAMILY-RALLEN AUSTRALIA,Na,,https://www.afr.com/property/commercial/south-african-rich-lister-scoops-up-nt-cattle-stations-for-70m-20200131-p53wmt,Rallen Australia,,,,,,,
Forrest Hill Station,NT,NT,Na,,https://www.afr.com/property/commercial/south-african-rich-lister-scoops-up-nt-cattle-stations-for-70m-20200131-p53wmt,Rallen Australia,,,,,,,
Kalala Station,NT,LANGENHOVEN FAMILY-RALLEN AUSTRALIA,Na,,https://parliament.nt.gov.au/__data/assets/pdf_file/0005/729716/Submission-7-Rallen-Australia.pdf,Rallen Australia,,,,,,,
Mt McMinn Station,NT,LANGENHOVEN FAMILY-RALLEN AUSTRALIA,Na,,https://www.afr.com/property/commercial/south-african-rich-lister-scoops-up-nt-cattle-stations-for-70m-20200131-p53wmt,Rallen Australia,,,,,,,
Tanumbirini Station,NT,NT,Na,,https://www.afr.com/property/commercial/south-african-rich-lister-scoops-up-nt-cattle-stations-for-70m-20200131-p53wmt,Rallen Australia,,,,,,,
Billabong Station,NSW,LEPPINGTON PASTORAL COMPANY,lpcmilk.com,Leppington Pastoral Co,http://www.lpcmilk.com/history/,,,,,,,,
Greenway,NSW,LEPPINGTON PASTORAL COMPANY,lpcmilk.com,Leppington Pastoral Co,http://www.lpcmilk.com/history/,,,,,,,,
Karoola Park,NSW,LEPPINGTON PASTORAL COMPANY,lpcmilk.com,Leppington Pastoral Co,http://www.lpcmilk.com/history/,,,,,,,,
Lake Cowal,NSW,LEPPINGTON PASTORAL COMPANY,lpcmilk.com,,Part of Billabong station?,,,,,,,,
Linton,NSW,LEPPINGTON PASTORAL COMPANY,lpcmilk.com,Leppington Pastoral Co,http://www.lpcmilk.com/history/,,,,,,,,
Stoneleigh,NSW,LEPPINGTON PASTORAL COMPANY,lpcmilk.com,Leppington Pastoral Co,http://www.lpcmilk.com/history/,,,,,,,,
Mount Lyndhurst Station,SA,PETER LITCHFIELD & FAMILY,Na,Litchfield Pastoral Company,https://www.stockjournal.com.au/story/5681631/litchfield-gains-global-insight/,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjDq5Ht9pHrAhV1gUsFHShIBskQFjAEegQIAhAB&url=https%3A%2F%2Flandscape.sa.gov.au%2Ffiles%2Fsharedassets%2Fsa_arid_lands%2Fland%2Fwilpoorinna_final.pdf&usg=AOvVaw30i9J_vq5Z9F4gs45QlTlk,,,,,,,
Mundowdna Station,SA,PETER LITCHFIELD & FAMILY,Na,Litchfield Pastoral Company,https://www.stockjournal.com.au/story/5681631/litchfield-gains-global-insight/,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjDq5Ht9pHrAhV1gUsFHShIBskQFjAEegQIAhAB&url=https%3A%2F%2Flandscape.sa.gov.au%2Ffiles%2Fsharedassets%2Fsa_arid_lands%2Fland%2Fwilpoorinna_final.pdf&usg=AOvVaw30i9J_vq5Z9F4gs45QlTlk,,,,,,,
Wilpoorinna Station,SA,PETER LITCHFIELD & FAMILY,Na,Litchfield Pastoral Company,https://www.stockjournal.com.au/story/5681631/litchfield-gains-global-insight/,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjDq5Ht9pHrAhV1gUsFHShIBskQFjAEegQIAhAB&url=https%3A%2F%2Flandscape.sa.gov.au%2Ffiles%2Fsharedassets%2Fsa_arid_lands%2Fland%2Fwilpoorinna_final.pdf&usg=AOvVaw30i9J_vq5Z9F4gs45QlTlk,,,,,,,
Bayrick,QLD,LORD CATTLE-LORD & PENNA GRAZING BUSINESS,Na,Lord & Penna Grazing Partnerships,https://www.lordpenna.com/about-us,,,,,,,,
May Downs,QLD,LORD CATTLE-LORD & PENNA GRAZING BUSINESS,Na,Lord & Penna Grazing Partnerships,https://www.lordpenna.com/about-us,,,,,,,,
Nottingham Downs/Wick,QLD,LORD CATTLE-LORD & PENNA GRAZING BUSINESS,Na,Lord & Penna Grazing Partnerships,https://www.lordpenna.com/about-us,,,,,,,,
Woolthorpe,QLD,LORD CATTLE-LORD & PENNA GRAZING BUSINESS,Na,Lord & Penna Grazing Partnerships,https://www.lordpenna.com/about-us,,,,,,,,
Borambil,NSW,LAWSON GRAIN,Na,Lawson Grains,https://www.lawsongrains.com/our-properties/,,,,,,,,
Grassmere,NSW,LAWSON GRAIN,Na,Lawson Grains,https://www.lawsongrains.com/our-properties/,,,,,,,,
Gunnadoo,WA,LAWSON GRAIN,Na,Lawson Grains,https://www.lawsongrains.com/our-properties/,,,,,,,,
Hakea,WA,LAWSON GRAIN,Na,Lawson Grains,https://www.lawsongrains.com/our-properties/,,,,,,,,
Jerry South,WA,LAWSON GRAIN,Na,Lawson Grains,https://www.lawsongrains.com/our-properties/,,,,,,,,
Kealandi,NSW,LAWSON GRAIN,Na,Lawson Grains,https://www.lawsongrains.com/our-properties/,,,,,,,,
St Leonards,WA,LAWSON GRAIN,Na,Lawson Grains,https://www.lawsongrains.com/our-properties/,,,,,,,,
Uah,NSW,LAWSON GRAIN,Na,Lawson Grains,https://www.lawsongrains.com/our-properties/,,,,,,,,
Walyoo,WA,LAWSON GRAIN,Na,Lawson Grains,https://www.lawsongrains.com/our-properties/,,,,,,,,
Wongan,WA,LAWSON GRAIN,Na,Lawson Grains,https://www.lawsongrains.com/our-properties/,,,,,,,,
Aberbaldie,NSW,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Armraynald Station,QLD,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Barton,VIC,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Beckworth Court,VIC,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Borambil Station,NSW,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Burindi Station,NSW,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Burmah Station,NSW,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Buttabone,NSW,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Clonagh Station,QLD,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Cooinbil Station,NSW,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Davenport Downs,QLD,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Gregory Downs Station,QLD,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Malvern Hills Station,QLD,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Merrimba Station,NSW,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Moira Runda,QLD,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Mungadal Station,NSW,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Newstead Station,NSW,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Old Bundemar,NSW,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Oxley Station,NSW,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Paradise Station,NSW,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Pier Pier,NSW,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Pooginook Station,NSW,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Rocklands,QLD,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Steam Plains Station,NSW,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Tanbar Station,QLD,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
The Bulls Run,NSW,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Urawilkie,NSW,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,,,,,,,,
Wiranya,NSW,PARAWAY PASTORAL,Na,Paraway Pastoral Co,https://www.paraway.com.au/our-stations/,Actually a part of Burindi Station?,,,,,,,
Amarinya,WA,VIRIDIS AG,Na,Viridis AG,https://viridisag.com/our-properties/,,,,,,,,
Bindana Downs,WA,VIRIDIS AG,Na,Viridis AG,https://viridisag.com/our-properties/,,,,,,,,
Cubbie Station,QLD,,Na,Ruyi Group (China),https://cubbie.com.au/ruyi-australia-group/,,,,,,,,
Wiltoo,SA,VIRIDIS AG,Na,Viridis AG,https://viridisag.com/our-properties/,,,,,,,,
Englefield Plains,NSW,VIRIDIS AG,Na,Viridis AG,https://viridisag.com/our-properties/,,,,,,,,
Gindurra,NSW,VIRIDIS AG,Na,Viridis AG,https://viridisag.com/our-properties/,,,,,,,,
Oodnadatta Farms,NSW,VIRIDIS AG,Na,Viridis AG,https://viridisag.com/our-properties/,,,,,,,,
Tantanoola,WA,VIRIDIS AG,Na,Viridis AG,https://viridisag.com/our-properties/,,,,,,,,
The Grange,WA,VIRIDIS AG,Na,Viridis AG,https://viridisag.com/our-properties/,,,,,,,,
Yupiri,WA,VIRIDIS AG,Na,Viridis AG,https://viridisag.com/our-properties/,,,,,,,,
Ashmore,SA,AJ&PA MCBRIDE,Na,AJ & PA McBride,https://mcbride.com.au/properties,,,,,,,,
Braemar Station,SA,AJ&PA MCBRIDE,Na,AJ & PA McBride,https://mcbride.com.au/properties,,,,,,,,
Brooklyn/Omar,SA,AJ&PA MCBRIDE,Na,AJ & PA McBride,https://mcbride.com.au/properties,,,,,,,,
Faraway Vineyard,SA,AJ&PA MCBRIDE,Na,AJ & PA McBride,https://mcbride.com.au/properties,,,,,,,,
Konetta Station,SA,AJ&PA MCBRIDE,Na,AJ & PA McBride,https://mcbride.com.au/properties,,,,,,,,
Nepowie,SA,AJ&PA MCBRIDE,Na,AJ & PA McBride,https://mcbride.com.au/properties,,,,,,,,
North Well,SA,AJ&PA MCBRIDE,Na,AJ & PA McBride,https://mcbride.com.au/properties,,,,,,,,
Teetulpa,SA,AJ&PA MCBRIDE,Na,AJ & PA McBride,https://mcbride.com.au/properties,,,,,,,,
Telopea Downs aggregation,VIC,AJ&PA MCBRIDE,Na,AJ & PA McBride,https://mcbride.com.au/properties,,,,,,,,
Wilgena Station,SA,AJ&PA MCBRIDE,Na,AJ & PA McBride,https://mcbride.com.au/properties,,,,,,,,
Peppora Station,NSW,ROBERT MCBRIDE,tolarnostation.com.au,Robert McBride,http://www.tolarnostation.com.au/the-mcbrides.html,,,,,,,,
Tolarno Station,NSW,ROBERT MCBRIDE,tolarnostation.com.au,Robert McBride,http://www.tolarnostation.com.au/the-mcbrides.html,,,,,,,,
Wyoming Station,NSW,ROBERT MCBRIDE,tolarnostation.com.au,Robert McBride,http://www.tolarnostation.com.au/the-mcbrides.html,,,,,,,,
Mt Skinner Station,NT,MCCORMACK FAMILY,Na,,https://www.beefcentral.com/property/weekly-property-review-recently-completed-sales-4/,,,,,,,,
Prospect Station,QLD,MCCOY FAMILY,Na,,https://www.beefcentral.com/property/property-8-6m-macdonald-downs-deal-continues-strong-sales-in-central-australia/,,,,,,,,
Brightlands Station,QLD,MCDONALD HOLDINGS,mdh.net.au,MDH,https://www.mdh.net.au/properties.html,,,,,,,,
Chatsworth Station,QLD,MCDONALD HOLDINGS,mdh.net.au,MDH,https://www.mdh.net.au/properties.html,,,,,,,,
Clearwater Station,QLD,MCDONALD HOLDINGS,mdh.net.au,MDH,https://www.mdh.net.au/properties.html,,,,,,,,
Devoncourt Station,QLD,MCDONALD HOLDINGS,mdh.net.au,MDH,https://www.mdh.net.au/properties.html,,,,,,,,
Dunbar Station,QLD,MCDONALD HOLDINGS,mdh.net.au,MDH,https://www.mdh.net.au/properties.html,,,,,,,,
Iffley Station,QLD,MCDONALD HOLDINGS,mdh.net.au,MDH,https://www.mdh.net.au/properties.html,,,,,,,,
Leitrim,,,,MDH,https://www.mdh.net.au/properties.html,,,,,,,,
Kierawonga,QLD,MCDONALD HOLDINGS,mdh.net.au,MDH,https://www.mdh.net.au/properties.html,,,,,,,,
Mt Windsor,QLD,MCDONALD HOLDINGS,mdh.net.au,MDH,https://www.mdh.net.au/properties.html,,,,,,,,
Nangram,QLD,MCDONALD HOLDINGS,mdh.net.au,MDH,https://www.mdh.net.au/properties.html,,,,,,,,
Rutland Plains,QLD,MCDONALD HOLDINGS,mdh.net.au,MDH,https://www.mdh.net.au/properties.html,,,,,,,,
Stradbroke Station,QLD,MCDONALD HOLDINGS,mdh.net.au,MDH,https://www.mdh.net.au/properties.html,,,,,,,,
Verdun Valley,QLD,MCDONALD HOLDINGS,mdh.net.au,MDH,https://www.mdh.net.au/properties.html,,,,,,,,
Wallumba Feedlot,QLD,MCDONALD HOLDINGS,mdh.net.au,MDH,https://www.mdh.net.au/properties.html,,,,,,,,
Barcaldine Downs,QLD,ROB MCGAVIN,Na,,https://www.farmonline.com.au/story/6630748/clark-and-tait-properties-sold-mantuan-makes-926-million/?cs=4733,,,,,,,,
Idracowra Station,NT,ANGUS & KIMBERLEY MCKAY,Na,,https://www.abc.net.au/news/rural/2019-10-10/red-centre-pastoral-family-buys-idracowra-from-abu-dhabi-royal/11587438,,,,,,,,
Umbearra Station,NT,ANGUS & KIMBERLEY MCKAY,Na,,https://www.abc.net.au/news/rural/2019-10-10/red-centre-pastoral-family-buys-idracowra-from-abu-dhabi-royal/11587438,,,,,,,,
Rainbow Downs,QLD,JOHN & KATE MCLOUGHLIN,Na,,https://www.councilnews.com.au/2020/07/11436052-movement-at-the-station-recent-property-listings,,,,,,,,
Roxborough Downs,QLD,JOHN & KATE MCLOUGHLIN,Na,,https://www.commercialrealestate.com.au/news/a-million-acres-in-channel-country-for-40-million-963887/,,,,,,,,
Thornhill aggregation,QLD,JOHN & KATE MCLOUGHLIN,Na,,https://www.councilnews.com.au/2020/07/11436052-movement-at-the-station-recent-property-listings,,,,,,,,
Calvert Hills,NT,MCMILLAN PASTORAL COMPANY,Na,,https://www.commercialrealestate.com.au/news/mcmillans-poised-to-scoop-up-chinese-billionaires-cattle-stations-940417/, ,,,,,,,
Corella Park Station,QLD,MCMILLAN PASTORAL COMPANY,Na,,https://www.commercialrealestate.com.au/news/mcmillans-poised-to-scoop-up-chinese-billionaires-cattle-stations-940417/,,,,,,,,
Inorunie Station,QLD,MCMILLAN PASTORAL COMPANY,Na,,https://www.commercialrealestate.com.au/news/mcmillans-poised-to-scoop-up-chinese-billionaires-cattle-stations-940417/,,,,,,,,
Wollogorang/Wentworth,QLD,MCMILLAN PASTORAL COMPANY,Na,,THIS IS A DUPLICATION OF WENTWORTH CO,,,,,,,,
Boolarwell,QLD,MH PREMIUM FARMS,Na,MH Premium Farms,https://www.mhpf.com.au/northern-cropping,,,,,,,,
Burrangong,NSW,MH PREMIUM FARMS,Na,MH Premium Farms,https://www.mhpf.com.au/southern-mixed,,,,,,,,
Canomodine,NSW,MH PREMIUM FARMS,Na,MH Premium Farms,https://www.mhpf.com.au/southern-mixed,,,,,,,,
Cheviot Hills,VIC,MH PREMIUM FARMS,Na,MH Premium Farms,https://www.mhpf.com.au/victoria,,,,,,,,
Delta Farms,QLD,MH PREMIUM FARMS,Na,MH Premium Farms,https://www.mhpf.com.au/northern-cropping,,,,,,,,
Deltroit Station,NSW,MH PREMIUM FARMS,Na,MH Premium Farms,https://www.mhpf.com.au/southern-mixed,,,,,,,,
Enfield North,NSW,MH PREMIUM FARMS,Na,MH Premium Farms,https://www.mhpf.com.au/northern-cropping,,,,,,,,
Gunedra-Redcamp,NSW,MH PREMIUM FARMS,Na,MH Premium Farms,https://www.mhpf.com.au/northern-cropping,,,,,,,,
Haughton Farms,QLD,MH PREMIUM FARMS,Na,MH Premium Farms,https://www.mhpf.com.au/northern-cropping,,,,,,,,
Marshmead,NSW,MH PREMIUM FARMS,Na,MH Premium Farms,https://www.mhpf.com.au/northern-cropping,,,,,,,,
Meadowbank,NSW,MH PREMIUM FARMS,Na,MH Premium Farms,https://www.mhpf.com.au/southern-mixed,,,,,,,,
Mourable,NSW,MH PREMIUM FARMS,Na,MH Premium Farms,https://www.mhpf.com.au/northern-cropping,,,,,,,,
Rippling Water,NSW,MH PREMIUM FARMS,Na,MH Premium Farms,https://www.mhpf.com.au/southern-mixed,,,,,,,,
Sylvania,NSW,MH PREMIUM FARMS,Na,MH Premium Farms,https://www.mhpf.com.au/northern-cropping,,,,,,,,
Springfield,NSW,MH PREMIUM FARMS,Na,MH Premium Farms,https://www.mhpf.com.au/southern-mixed,,,,,,,,
Warrane,NSW,MH PREMIUM FARMS,Na,MH Premium Farms,https://www.mhpf.com.au/northern-cropping,,,,,,,,
Watson Park,NSW,MH PREMIUM FARMS,Na,MH Premium Farms,https://www.mhpf.com.au/southern-mixed,,,,,,,,
Kuleah/Quamby East,VIC,MIDFIELD GROUP,Na,,,,,,,,,,
The Union Station,VIC,MIDFIELD GROUP,Na,Midfield Group,https://midfield.com.au/our-brands/union-station/,,,,,,,,
Cappedee,SA,MILLINGTON FAMILY,Na,,,,,,,,,,
Callawonga Hill,SA,MILLINGTON FAMILY,Na,,,,,,,,,,
Collinsville Station,SA,MILLINGTON FAMILY,Na,,https://www.farmonline.com.au/story/3568796/entrepreneur-buys-collinsville/,,,,,,,,
Kadlunga,SA,MILLINGTON FAMILY,Na,,https://www.commercialrealestate.com.au/news/historic-south-australian-farm-sells-in-large-off-market-deal-847574/,,,,,,,,
Myendetta,QLD,MILLS FAMILY,Na,,https://www.beefcentral.com/property/movement-at-the-station-a-roundup-of-rural-property-briefs-2/,,,,,,,,
Hythe,QLD,MILLS FAMILY,Na,,https://www.beefcentral.com/property/movement-at-the-station-a-roundup-of-rural-property-briefs-2/,,,,,,,,
Mangalore,QLD,MILLS FAMILY,Na,,https://www.beefcentral.com/property/movement-at-the-station-a-roundup-of-rural-property-briefs-2/,,,,,,,,
Beringarra Station,WA,MILLY MILLY PASTORAL,Na,,Purchased by Senghoo in 2016 but Senghoo is currently in administration,https://thewest.com.au/business/agriculture/court-fight-looms-over-converted-cattle-ng-b881069072z,,,,,,,
Milly Milly Station,WA,MILLY MILLY PASTORAL,Na,,Purchased by Senghoo in 2016 but Senghoo is currently in administration,https://thewest.com.au/business/agriculture/court-fight-looms-over-converted-cattle-ng-b881069072z,,,,,,,
Ardgour North,NSW,MINNAMURRA PASTORAL COMPANY,minnamurra.com.au,Minnamurra,https://www.minnamurra.com.au/our-properties/,,,,,,,,
Cortina aggregation,NSW,MINNAMURRA PASTORAL COMPANY,minnamurra.com.au,Minnamurra,https://www.minnamurra.com.au/our-properties/,,,,,,,,
Mia Mia,NSW,MINNAMURRA PASTORAL COMPANY,minnamurra.com.au,Minnamurra,https://www.minnamurra.com.au/our-properties/,,,,,,,,
Mount Mill,NSW,MINNAMURRA PASTORAL COMPANY,minnamurra.com.au,Minnamurra,https://www.minnamurra.com.au/our-properties/,,,,,,,,
VDL Farms (formerly Van Diemen’s Land Company),TAS,MOONLAKE INVESTMENTS,Na,,https://www.abc.net.au/news/rural/2019-06-27/vdl-dairy-in-mutiny-amid-animal-welfare-concerns/11243876,,,,,,,,
Merrowie Station,NSW,MRA MERROWIE PTY LTD,Na,,https://www.theland.com.au/story/5332249/lachlan-sales-a-115m-pastoral-swansong-for-twynam/,,,,,,,,
Alcheringa,QLD,MORELLA AGRICULTURE,Na,,https://www.pressreader.com/search?query=alcheringa&languages=en&groupBy=Language&hideSimilar=0&type=1&state=1,,,,,,,,
Morella,NSW,MORELLA AGRICULTURE,Na,,https://www.theland.com.au/story/4036624/highest-stakes-for-families-at-helm-of-mass-scale-farm/,,,,,,,,
Nappa Merrie Station,QLD,MORELLA AGRICULTURE,Na,,https://www.theland.com.au/story/4036624/highest-stakes-for-families-at-helm-of-mass-scale-farm/,,,,,,,,
Neilo,QLD,MORELLA AGRICULTURE,Na,,https://www.theland.com.au/story/4036624/highest-stakes-for-families-at-helm-of-mass-scale-farm/,,,,,,,,
Tandawanna North,QLD,MORELLA AGRICULTURE,Na,,https://www.theland.com.au/story/4036624/highest-stakes-for-families-at-helm-of-mass-scale-farm/,,,,,,,,
Far North aggregation QLD – 8000 hectares.,QLD,MSF SUGAR,msfsugar.com.au,,,,,,,,,,
Maryborough aggregation,QLD,MSF SUGAR,msfsugar.com.au,MSF Sugar,https://www.msfsugar.com.au/#who_we_are,,,,,,,,
Mary Harbour,QLD,MSF SUGAR,msfsugar.com.au,,https://www.northernstar.com.au/news/msf-sugar-lodges-master-plan-500m-mary-harbour-pro/2579666/,,,,,,,,
Muttooroo Station,SA,MUTOOROO PASTORAL COMPANY,mutooroopastoralcompany.com.au,Mutooroo Pastoral Company,https://www.mutooroopastoralcompany.com.au/,,,,,,,,
Mulyungarie Station,SA,MUTOOROO PASTORAL COMPANY,mutooroopastoralcompany.com.au,Mutooroo Pastoral Company,https://www.mutooroopastoralcompany.com.au/,,,,,,,,
Quinyambie Station,NSW,MUTOOROO PASTORAL COMPANY,mutooroopastoralcompany.com.au,Mutooroo Pastoral Company,https://www.mutooroopastoralcompany.com.au/,,,,,,,,
Lilydale and Manunda Stations,SA,MUTOOROO PASTORAL COMPANY,mutooroopastoralcompany.com.au,Mutooroo Pastoral Company,https://www.mutooroopastoralcompany.com.au/,,,,,,,,
Delmore Downs,NT,NAPIER PASTORAL COMPANY,Na,,https://www.abc.net.au/news/rural/2016-01-25/delmore-downs-delny-station-sale-vickers-family-napier-pastoral/7108228,,,,,,,,
Delny,NT,NAPIER PASTORAL COMPANY,Na,,https://www.abc.net.au/news/rural/2016-01-25/delmore-downs-delny-station-sale-vickers-family-napier-pastoral/7108228,,,,,,,,
Pine Hill Station,NT,NAPIER PASTORAL COMPANY,Na,,https://www.abc.net.au/news/rural/2019-02-28/pine-hill-station-sells-to-vickers-family-of-sa/10855036,,,,,,,,
Juanbung and Boyong Stations,NSW,NATURE CONSERVANCY AUSTRALIA,Na,,THIS IS A DUPLICATION,,,,,,,,
Alexandria Station,NT,NORTH AUSTRALIAN PASTORAL COMPANY,Na,North Australian Pastoral Company,https://napco.com.au/our-story/#people-properties,,,,,,,,
Coolullah Station,QLD,NORTH AUSTRALIAN PASTORAL COMPANY,Na,North Australian Pastoral Company,https://napco.com.au/our-story/#people-properties,,,,,,,,
Coorabulka Station,QLD,NORTH AUSTRALIAN PASTORAL COMPANY,Na,North Australian Pastoral Company,https://napco.com.au/our-story/#people-properties,,,,,,,,
Cungelella Station,QLD,NORTH AUSTRALIAN PASTORAL COMPANY,Na,North Australian Pastoral Company,https://napco.com.au/our-story/#people-properties,,,,,,,,
Glenormiston Station,QLD,NORTH AUSTRALIAN PASTORAL COMPANY,Na,North Australian Pastoral Company,https://napco.com.au/our-story/#people-properties,,,,,,,,
Goldsborough Station,QLD,NORTH AUSTRALIAN PASTORAL COMPANY,Na,North Australian Pastoral Company,https://napco.com.au/our-story/#people-properties,,,,,,,,
Kynuna Station,QLD,NORTH AUSTRALIAN PASTORAL COMPANY,Na,North Australian Pastoral Company,https://napco.com.au/our-story/#people-properties,,,,,,,,
