Name,State,Owner (WT),WT Source,Owner (Josh),Source,Notes,,,,,,,
Muldoon Station,QLD,BASS CATTLE COMPANY,Na,,https://www.abc.net.au/news/rural/2019-06-07/nt-epenarra-station-sells-for-14-million-to-qld-bull-breeders/11185618,,,,,,,,
Harcourt,QLD,BC WATER PTY,Na,,https://www.queenslandcountrylife.com.au/story/5617063/dawson-river-property-sold-at-auction/,,,,,,,,
De Grey Station,WA,BETTINI BEEF,Na,,https://www.farmweekly.com.au/story/6279227/marketing-options-pay-off-for-bettinis/,,,,,,,,
Mallina Station,WA,BETTINI BEEF,Na,,https://www.farmweekly.com.au/story/6279227/marketing-options-pay-off-for-bettinis/,,,,,,,,
Pyramid Station,WA,BETTINI BEEF,Na,,https://www.farmweekly.com.au/story/6279227/marketing-options-pay-off-for-bettinis/,,,,,,,,
Sherlock Station,WA,BETTINI BEEF,Na,,https://www.farmweekly.com.au/story/6279227/marketing-options-pay-off-for-bettinis/,,,,,,,,
Warrambie Station,WA,BETTINI BEEF,Na,,https://www.farmweekly.com.au/story/6279227/marketing-options-pay-off-for-bettinis/,,,,,,,,
Billa Kalina,SA,BILLA KALINA PASTORAL COMPANY,Na,Greenfield Pastoral Company Ltd,https://www.atns.net.au/agreement.asp?EntityID=6998,https://www.theland.com.au/story/5480962/station-bred-dorpers-meet/?cs=6133,I think Billa Kalina Pastoral and Greenfield Pastoral are the same company,,,,,,
Mt Enniskillen,QLD,HARVEY BLACK,Na,,https://www.queenslandcountrylife.com.au/story/6724505/harvey-black-buys-mt-enniskillen/,,,,,,,,
Ban Ban Springs,NT,NICO BOTHA-SAWA PASTORAL COMPANY,Na,,https://www.abc.net.au/news/rural/2016-12-23/ban-ban-springs-bullo-river-station-sale-northern-territory/8145100,,,,,,,,
Boort Estate,VIC,BOUNDARY BEND LIMITED,Na,Boundary Bend Limited,https://www.boundarybend.com/about/our-groves/,,,,,,,,
Boundary Bend Estate,VIC,BOUNDARY BEND LIMITED,Na,Boundary Bend Limited,https://www.boundarybend.com/about/our-groves/,,,,,,,,
Amungee Amungee,NT,BRETT BLUNDY RETAIL CAPITAL,bbrcbeef.com,,https://www.abc.net.au/news/2019-06-23/billionaire-businessman-takes-on-origin-energy-supreme-court-nt/11237598,Walhallow Partnership?,Actually Amungee Mungee?,,,,,,
Beetaloo Station and OT Downs,NT,BRETT BLUNDY RETAIL CAPITAL,bbrcbeef.com,,https://www.abc.net.au/news/2019-06-23/billionaire-businessman-takes-on-origin-energy-supreme-court-nt/11237598,Walhallow Partnership?,,,,,,,
Mungabroom Station,NT,BRETT BLUNDY RETAIL CAPITAL,bbrcbeef.com,,https://www.abc.net.au/news/2019-06-23/billionaire-businessman-takes-on-origin-energy-supreme-court-nt/11237598,Walhallow Partnership?,,,,,,,
Walhallow/Cresswell Downs,NT,BRETT BLUNDY RETAIL CAPITAL,bbrcbeef.com,,https://www.abc.net.au/news/rural/2017-09-11/massive-water-development-underway-at-walhallow-barkly/8881416,Walhallow Partnership?,,,,,,,
Bundarbo Station,Na,BRIDGELANE PASTORAL,Na,BridgeLane Pastoral,https://bridgelane.com.au/pastoral,,,,,,,,
Mount Marlow Station,QLD,BRIG-O-DOON CATTLE COMPANY,Na,,https://www.queenslandcountrylife.com.au/story/4226563/gowan-mount-marlow-sold-videos/,,,,,,,,
Retreat Station,QLD,BRIG-O-DOON CATTLE COMPANY,Na,,https://www.queenslandcountrylife.com.au/story/6412323/speeds-take-on-retreat-station/,,,,,,,,
Banff Station,SA,TA&PA BRINKWORTH-CAPARRA PTY LTD,Na,,,,,,,,,,
Cortina Station,SA,TA&PA BRINKWORTH-CAPARRA PTY LTD,Na,,,,,,,,,,
Didicoolum Station,SA,TA&PA BRINKWORTH-CAPARRA PTY LTD,Na,,,,,,,,,,
Frome Downs,SA,TA&PA BRINKWORTH-CAPARRA PTY LTD,Na,,,,,,,,,,
Kaladbro Station,VIC,TA&PA BRINKWORTH-CAPARRA PTY LTD,Na,,,,,,,,,,
Ninga Ninga Station,SA,TA&PA BRINKWORTH-CAPARRA PTY LTD,Na,,,,,,,,,,
SFM Australasia aggregation,SA,TA&PA BRINKWORTH-CAPARRA PTY LTD,Na,,,,,,,,,,
Uardry Station,NSW,TA&PA BRINKWORTH-CAPARRA PTY LTD,Na,,,,,,,,,,
Watervalley Station,SA,TA&PA BRINKWORTH-CAPARRA PTY LTD,Na,,,,,,,,,,
Boodanoo and Narndee Stations,WA,ROBERT & JULIE BROADHURST,Na,,http://www.narndee.com/about.html,Julie and Robert Broadhurst,,,,,,,
Adria Downs,QLD,BROOK PROPRIETORS,Na,,https://www.queenslandcountrylife.com.au/story/4801430/good-outlook-for-brook/,,,,,,,,
Alton Downs,SA,BROOK PROPRIETORS,Na,,https://www.queenslandcountrylife.com.au/story/4801430/good-outlook-for-brook/,,,,,,,,
Cordillo Downs,SA,BROOK PROPRIETORS,Na,,https://www.queenslandcountrylife.com.au/story/4801430/good-outlook-for-brook/,,,,,,,,
Kamaran Downs,QLD,BROOK PROPRIETORS,Na,,https://www.queenslandcountrylife.com.au/story/4801430/good-outlook-for-brook/,,,,,,,,
